IBOV - Carteira do Dia 02/10/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,027;
PETR3;PETROBRAS;ON      N2;2.585.311.860;4,806;
PETR4;PETROBRAS;PN      N2;4.566.445.852;7,760;
RECV3;PETRORECSA;ON      NM;274.957.807;0,282;
PRIO3;PETRORIO;ON      NM;798.274.909;1,842;
PETZ3;PETZ;ON      NM;329.077.188;0,077;
RADL3;RAIADROGASIL;ON      NM;1.263.596.819;1,712;
RAIZ4;RAIZEN;PN      N2;1.193.671.389;0,210;
RDOR3;REDE D OR;ON      NM;1.168.230.366;1,456;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,364;
SBSP3;SABESP;ON      NM;340.001.799;1,018;
SANB11;SANTANDER BR;UNT;342.918.449;0,438;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,276;
CSNA3;SID NACIONAL;ON;600.865.451;0,358;
SLCE3;SLC AGRICOLA;ON      NM;101.824.365;0,197;
SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,820;
TAEE11;TAESA;UNT     N2;218.568.234;0,371;
VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,896;
TIMS3;TIM;ON  EJ  NM;807.896.814;0,590;
TOTS3;TOTVS;ON      NM;514.122.351;0,681;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;0,999;
USIM5;USIMINAS;PNA     N1;515.117.391;0,168;
VALE3;VALE;ON      NM;4.427.123.466;14,678;
VAMO3;VAMOS;ON      NM;421.383.330;0,202;
VBBR3;VIBRA;ON  EJ  NM;1.114.412.532;1,034;
WEGE3;WEG;ON  EJ  NM;1.481.593.024;2,636;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,282;
Quantidade Teórica Total;;;98.476.454.882;100,000
Redutor;;;17.486.930,35034135
